# of lines read,Execution time w/o tests,Execution time w/ tests
100,0.0008422150000000073,0.0009905339999999874
1000,0.007725839000000012,0.009908241000000012
2000,0.010515348000000008,0.01620606700000002
3000,0.013328126999999995,0.02235636599999999
4000,0.03653771699999997,0.031639992000000006
5000,0.02180393399999997,0.035990314999999995
6000,0.025511808999999996,0.04440679399999997
7000,0.03168388700000002,0.055076607000000055
8000,0.038788904999999985,0.06277529800000003
9000,0.04379486499999996,0.06127128500000001
10000,0.05104163699999997,0.07693106699999996
